r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
5.709236,100,6.935931,0.35,1.0,5.71,0.19,81.0,8.0,28.85,6.88,21.88,0.09,36.77,18.66,5.57,0.34,41.0,0.0,40.0,0.0
10.710829,100,6.935931,0.07,13.0,10.71,0.19,81.0,7.16,29.28,6.54,22.64,0.1,75.13,28.18,2.97,0.41,31.0,0.0,50.0,0.0
14.864145,100,6.935931,0.07,17.0,14.86,0.17,83.0,7.33,24.92,6.57,18.29,0.07,110.95,24.41,1.97,0.16,29.0,37.0,17.0,0.0
5.2555995,100,6.936934,0.45,21.0,5.26,0.2,80.0,8.0,28.84,6.88,21.9,0.07,37.09,33.44,3.44,0.5,0.0,60.0,20.0,0.0
17.510845,100,9.635521,0.42,7.0,17.51,0.11,89.0,7.82,24.52,6.8,17.64,0.08,52.43,16.19,6.92,0.17,44.0,24.0,21.0,0.2
21.743145,100,9.635521,0.53,3.0,21.74,0.11,89.0,7.42,21.5,6.66,14.79,0.06,87.55,29.39,2.76,0.4,54.0,35.0,0.0,0.2
7.3350105,100,9.635521,0.44,3.0,7.34,0.17,83.0,8.92,22.34,7.2,15.06,0.08,57.48,24.42,5.59,0.18,30.0,38.0,15.0,0.2
6.5922484,100,9.635521,0.4,9.0,6.59,0.17,83.0,8.82,29.68,7.2,22.39,0.09,44.92,19.73,2.68,0.22,19.0,18.0,46.0,0.2
26.973,100,12.09749,0.35,7.0,26.97,0.14,86.0,3.02,22.67,3.1,19.49,0.08,45.16,18.05,3.51,0.26,50.0,20.0,16.0,0.21
18.25538,100,12.09749,0.44,19.0,18.26,0.19,81.0,3.95,18.81,3.92,14.81,0.07,62.53,21.14,3.58,0.48,58.0,23.0,0.0,0.21
10.831449,100,12.09749,0.28,11.0,10.83,0.23,77.0,4.1,26.32,4.18,22.05,0.08,44.89,16.84,3.41,0.35,41.0,0.0,36.0,0.21
40.00362,100,12.09749,0.52,15.0,40.0,0.02,98.0,3.86,19.86,3.91,15.86,0.09,25.99,8.82,3.22,0.18,34.0,45.0,19.0,0.21
11.711153,100,14.526043,-1.0,24.0,11.71,0.23,77.0,4.91,22.48,4.63,17.79,0.06,84.59,31.4,29.47,0.36,35.0,42.0,0.0,0.2
27.510345,100,14.526043,0.55,11.0,27.51,0.14,86.0,3.52,22.47,3.34,19.05,0.08,60.34,35.36,2.0,0.11,26.0,23.0,37.0,0.2
24.116955,100,14.526043,0.33,5.0,24.12,0.16,84.0,4.58,19.82,4.33,15.43,0.07,104.34,34.24,3.6,0.15,27.0,38.0,19.0,0.21
22.941212,100,14.526043,0.53,9.0,22.94,0.16,84.0,3.83,21.92,3.63,18.21,0.08,59.52,23.77,3.03,0.52,66.0,18.0,0.0,0.21
20.741777,100,16.768228,0.45,7.0,20.74,0.11,89.0,6.25,22.62,6.12,16.43,0.07,31.97,13.78,5.29,0.44,59.0,30.0,0.0,0.22
17.67323,100,16.76919,0.14,21.0,17.67,0.09,91.0,10.11,27.61,7.72,19.82,0.07,96.08,42.14,2.69,0.26,53.0,18.0,20.0,0.22
19.135502,100,16.76919,0.49,3.0,19.14,0.14,86.0,6.88,26.23,6.31,19.84,0.09,81.2,35.25,2.92,0.24,48.0,21.0,17.0,0.22
8.90172,100,16.76919,0.49,1.0,8.9,0.14,86.0,10.19,26.4,7.76,18.58,0.06,69.47,34.33,3.05,0.29,51.0,21.0,14.0,0.22
24.918892,100,18.973986,-1.0,24.0,24.92,0.18,82.0,1.91,19.99,2.25,17.66,0.08,51.7,25.71,2.56,0.31,52.0,16.0,14.0,0.2
30.938795,100,18.973986,0.42,17.0,30.94,0.13,87.0,1.77,20.69,2.06,18.53,0.1,34.23,10.33,3.52,0.16,34.0,16.0,37.0,0.2
38.608135,100,18.973986,0.41,15.0,38.61,0.08,92.0,2.17,22.71,2.6,20.04,0.06,39.96,25.9,7.35,0.57,79.0,13.0,0.0,0.2
36.785908,100,18.973986,0.58,3.0,36.79,0.12,88.0,1.95,21.45,2.34,19.05,0.06,88.2,35.04,2.49,0.17,37.0,36.0,15.0,0.2
23.18215,100,21.414448,0.63,3.0,23.18,0.19,81.0,2.58,24.93,3.15,21.68,0.1,81.23,23.91,2.95,0.46,0.0,25.0,56.0,0.2
18.90596,100,21.414448,0.56,1.0,18.91,0.21,79.0,2.94,25.26,3.61,21.57,0.08,72.13,27.7,4.01,0.45,53.0,0.0,26.0,0.2
22.0817,100,21.414448,0.43,17.0,22.08,0.18,82.0,2.45,21.6,2.98,18.54,0.09,32.42,21.29,3.45,0.11,20.0,29.0,33.0,0.2
16.240847,100,21.414448,0.42,7.0,16.24,0.21,79.0,2.39,20.84,2.93,17.85,0.06,18.71,7.55,3.41,0.35,38.0,41.0,0.0,0.2
15.050255,100,23.695088,0.48,9.0,15.05,0.13,87.0,8.24,24.12,5.98,18.09,0.06,69.96,21.5,3.15,0.5,65.0,22.0,0.0,0.2
4.093286,100,23.695088,-1.0,24.0,4.09,0.18,82.0,9.96,29.25,6.91,22.24,0.09,61.86,35.86,3.37,0.36,44.0,0.0,38.0,0.2
-1.5324681,100,23.695088,0.02,21.0,-1.53,0.19,81.0,10.59,29.51,7.14,22.3,0.08,30.8,20.4,4.65,0.22,26.0,41.0,14.0,0.2
1.7508502,100,23.695088,0.51,3.0,1.75,0.19,81.0,10.07,25.45,6.99,18.4,0.07,56.54,27.63,2.48,0.12,35.0,26.0,20.0,0.2
15.815527,100,26.180377,0.63,13.0,15.82,0.19,81.0,4.8,22.14,3.76,18.32,0.06,57.72,23.49,10.73,0.26,31.0,41.0,9.0,0.21
18.256805,100,26.180377,0.5,9.0,18.26,0.13,87.0,6.56,24.4,5.15,19.15,0.1,44.2,20.2,2.42,0.18,44.0,21.0,22.0,0.21
14.462647,100,26.180377,0.57,17.0,14.46,0.15,85.0,6.49,28.46,5.19,23.18,0.1,36.87,6.32,4.38,0.45,0.0,28.0,57.0,0.21
26.823566,100,26.180377,0.28,23.0,26.82,0.1,90.0,5.83,24.01,4.71,19.22,0.08,76.34,24.29,4.05,0.17,38.0,15.0,37.0,0.21
7.736866,100,28.849238,-1.0,24.0,7.74,0.23,77.0,5.74,25.14,4.44,20.57,0.12,55.82,26.28,3.2,0.67,0.0,0.0,77.0,0.22
12.4838915,100,28.849238,-1.0,24.0,12.48,0.18,82.0,7.17,23.87,5.77,18.02,0.08,78.72,32.1,2.08,0.1,21.0,28.0,33.0,0.22
27.77597,100,28.849238,0.52,21.0,27.78,0.11,89.0,4.85,20.0,3.8,16.11,0.08,59.23,32.73,2.39,0.16,40.0,30.0,19.0,0.22
12.735629,100,28.849238,0.06,11.0,12.74,0.19,81.0,6.0,26.54,4.43,22.0,0.12,60.09,23.82,0.6,0.67,0.0,0.0,81.0,0.22
15.432309,100,31.333468,0.59,23.0,15.43,0.14,86.0,7.73,21.91,5.45,16.37,0.09,62.8,32.72,3.22,0.25,32.0,43.0,11.0,0.24
17.840542,100,31.333468,0.04,1.0,17.84,0.2,80.0,4.08,21.11,3.25,17.8,0.06,78.21,29.86,3.06,0.45,54.0,26.0,0.0,0.24
17.15334,100,31.333468,-1.0,24.0,17.15,0.18,82.0,4.1,21.76,3.34,18.34,0.08,28.71,17.59,3.03,0.33,53.0,16.0,13.0,0.24
18.501873,100,31.333468,0.58,19.0,18.5,0.17,83.0,5.37,22.3,3.98,18.27,0.06,84.02,21.23,2.03,0.45,56.0,27.0,0.0,0.24
22.295,100,33.714767,0.51,21.0,22.29,0.15,85.0,4.07,23.09,4.29,18.73,0.07,36.99,22.32,4.61,0.31,16.0,54.0,15.0,0.2
30.5546,100,33.714767,0.54,3.0,30.55,0.12,88.0,2.99,23.0,3.04,19.91,0.05,56.71,14.99,5.23,0.44,30.0,58.0,0.0,0.2
29.373291,100,33.714767,0.57,23.0,29.37,0.12,88.0,4.48,23.16,4.48,18.61,0.07,83.3,39.73,3.34,0.14,36.0,35.0,17.0,0.2
22.133802,100,33.714767,0.57,1.0,22.13,0.14,86.0,4.43,20.08,4.55,15.44,0.09,30.11,19.81,2.67,0.21,42.0,29.0,15.0,0.2
18.601595,100,36.409947,0.46,15.0,18.6,0.2,80.0,2.52,24.85,3.08,21.68,0.1,34.95,13.34,4.56,0.53,0.0,17.0,63.0,0.21
16.972448,100,36.409947,0.51,15.0,16.97,0.23,77.0,2.95,18.07,3.65,14.36,0.06,84.17,36.02,3.8,0.42,28.0,49.0,0.0,0.21
17.576757,100,36.409947,-1.0,24.0,17.58,0.21,79.0,2.62,25.16,3.22,21.85,0.1,45.94,15.07,1.88,0.49,21.0,0.0,58.0,0.21
15.794864,100,36.409947,0.45,5.0,15.79,0.23,77.0,2.61,23.84,3.19,20.57,0.08,55.54,27.01,4.04,0.5,58.0,0.0,19.0,0.21
4.3488784,100,38.909193,0.48,5.0,4.35,0.14,86.0,11.6,27.35,7.88,19.4,0.08,65.18,30.61,16.63,0.09,24.0,35.0,27.0,0.21
3.0037942,100,38.909193,0.04,17.0,3.0,0.19,81.0,10.05,25.05,7.13,17.85,0.07,76.26,28.67,1.78,0.26,47.0,18.0,16.0,0.21
12.218163,100,38.909193,0.51,3.0,12.22,0.14,86.0,8.44,20.58,6.37,14.14,0.08,51.98,24.06,3.15,0.29,45.0,33.0,8.0,0.21
7.7788863,100,38.909193,0.43,11.0,7.78,0.18,82.0,7.83,22.52,5.88,16.56,0.08,46.24,14.34,3.84,0.11,31.0,19.0,32.0,0.21
-4.9796696,100,41.361986,0.29,1.0,-4.98,0.26,74.0,9.05,27.29,7.03,20.16,0.1,50.32,25.16,3.61,0.52,16.0,0.0,58.0,0.21
12.066432,100,41.361986,-1.0,24.0,12.07,0.14,86.0,9.02,24.24,7.09,17.07,0.08,71.8,29.22,2.08,0.15,39.0,27.0,20.0,0.21
14.084747,100,41.361986,0.29,9.0,14.08,0.18,82.0,7.2,21.39,6.07,15.27,0.05,108.61,31.05,2.39,0.37,46.0,36.0,0.0,0.21
9.0396805,100,41.361986,0.28,3.0,9.04,0.17,83.0,8.1,24.86,6.93,17.86,0.08,48.14,24.15,3.05,0.41,51.0,32.0,0.0,0.21
12.221757,100,43.850899,-1.0,24.0,12.22,0.19,81.0,7.01,20.73,6.05,14.62,0.06,90.43,32.32,2.36,0.21,27.0,40.0,14.0,0.2
7.772516,100,43.850899,0.38,1.0,7.77,0.21,79.0,7.47,23.54,6.49,16.99,0.07,90.67,23.52,3.98,0.28,48.0,15.0,16.0,0.2
10.570025,100,43.850899,0.41,15.0,10.57,0.21,79.0,5.67,21.07,5.09,15.92,0.05,54.5,24.94,3.93,0.39,33.0,46.0,0.0,0.2
16.195963,100,43.850899,0.01,21.0,16.2,0.12,88.0,8.07,25.93,6.45,19.39,0.1,53.5,26.92,3.7,0.23,32.0,13.0,43.0,0.2
14.274356,100,46.753073,0.42,3.0,14.27,0.19,81.0,6.12,22.77,5.37,17.33,0.07,84.6,32.07,2.55,0.12,31.0,32.0,18.0,0.2
17.705,100,46.753073,0.06,23.0,17.71,0.16,84.0,6.02,21.53,5.6,15.83,0.1,72.89,25.54,2.98,0.06,31.0,24.0,29.0,0.2
6.5087137,100,46.753073,0.46,1.0,6.51,0.21,79.0,7.57,27.14,6.3,20.76,0.09,63.25,33.04,3.21,0.34,40.0,0.0,39.0,0.2
4.9867163,100,46.753073,0.3,15.0,4.99,0.2,80.0,8.9,24.99,7.0,17.93,0.06,75.37,32.92,3.39,0.38,11.0,57.0,12.0,0.2
24.505356,100,49.358215,0.41,21.0,24.51,0.1,90.0,5.77,17.77,4.3,13.4,0.07,47.02,13.93,6.46,0.33,45.0,45.0,0.0,0.22
13.911804,100,49.358215,0.55,11.0,13.91,0.14,86.0,7.94,24.32,5.65,18.58,0.09,54.99,25.35,4.38,0.27,15.0,21.0,50.0,0.22
24.41962,100,49.358215,0.62,13.0,24.42,0.15,85.0,4.46,22.07,3.41,18.59,0.07,87.52,25.58,3.38,0.13,37.0,21.0,27.0,0.22
27.567604,100,49.358215,0.62,7.0,27.57,0.13,87.0,4.45,22.62,3.45,19.08,0.09,79.31,36.88,3.73,0.2,19.0,23.0,45.0,0.22
17.245487,100,51.473347,-1.0,24.0,17.25,0.18,82.0,4.73,26.73,4.6,22.05,0.08,46.58,31.29,1.25,0.25,47.0,16.0,19.0,0.22
15.272888,100,51.473347,0.31,1.0,15.27,0.2,80.0,4.69,26.21,4.58,21.57,0.06,67.44,24.07,2.96,0.23,43.0,15.0,22.0,0.22
16.96687,100,51.473347,-1.0,24.0,16.97,0.2,80.0,4.29,26.16,4.18,21.88,0.1,81.83,20.8,4.6,0.44,27.0,0.0,53.0,0.22
22.326794,100,51.473347,0.37,1.0,22.33,0.15,85.0,4.95,19.13,4.72,14.35,0.06,76.52,25.02,5.05,0.37,47.0,38.0,0.0,0.22
-8.9625225,100,53.911329,0.48,23.0,-8.96,0.21,79.0,12.28,29.29,8.01,21.22,0.07,31.66,9.5,4.72,0.19,40.0,18.0,21.0,0.2
-4.7642,100,53.911329,0.08,1.0,-4.76,0.17,83.0,13.3,31.1,8.55,22.46,0.08,55.39,27.09,1.8,0.08,24.0,25.0,34.0,0.2
-8.496452,100,53.911329,0.06,1.0,-8.5,0.2,80.0,13.03,31.24,8.41,22.75,0.08,41.52,22.76,3.93,0.14,34.0,17.0,29.0,0.2
-1.0984225,100,53.911329,0.07,15.0,-1.1,0.14,86.0,13.07,27.54,8.43,19.0,0.11,51.87,23.35,1.88,0.11,34.0,20.0,32.0,0.2
25.374243,100,63.383574,0.06,5.0,25.37,0.1,90.0,5.71,28.59,4.81,23.69,0.09,42.57,29.45,2.44,0.19,20.0,24.0,46.0,0.2
14.190899,100,63.383574,0.49,15.0,14.19,0.18,82.0,6.34,27.24,5.24,21.93,0.07,74.0,27.14,1.53,0.15,38.0,24.0,20.0,0.2
27.7331,100,63.383574,0.49,19.0,27.73,0.04,96.0,7.0,23.01,5.42,17.52,0.07,30.39,13.94,5.4,0.44,33.0,63.0,0.0,0.2
34.620457,100,63.383574,0.6,19.0,34.62,0.08,92.0,4.11,24.64,3.94,20.63,0.07,69.51,26.34,2.85,0.19,26.0,46.0,20.0,0.2
14.89309,100,65.610529,0.51,21.0,14.89,0.15,85.0,6.29,27.85,4.69,23.08,0.07,27.21,13.71,4.35,0.36,46.0,39.0,0.0,7.24
34.44772,100,65.610529,0.41,13.0,34.45,0.06,94.0,4.83,20.96,4.0,16.89,0.07,55.47,27.71,2.49,0.22,27.0,49.0,18.0,7.24
26.088346,100,65.610529,-1.0,24.0,26.09,0.1,90.0,5.87,29.2,4.43,24.69,0.08,63.38,27.24,3.35,0.14,21.0,29.0,40.0,7.24
24.529406,100,65.610529,0.06,7.0,24.53,0.11,89.0,5.58,28.59,4.27,24.22,0.09,43.92,30.84,5.18,0.51,68.0,0.0,21.0,7.24
30.260979,100,68.078197,0.09,1.0,30.26,0.06,94.0,6.56,32.13,5.62,26.4,0.11,66.08,35.91,1.34,0.53,19.0,0.0,75.0,0.19
29.462654,100,68.078197,0.46,7.0,29.46,0.06,94.0,6.8,30.56,5.61,24.89,0.06,85.08,15.92,2.61,0.67,94.0,0.0,0.0,0.19
35.301815,100,68.078197,0.46,11.0,35.3,0.01,99.0,6.43,27.38,4.96,22.32,0.09,44.23,24.59,2.02,0.26,20.0,21.0,58.0,0.19
33.941353,100,68.078197,0.09,1.0,33.94,0.04,96.0,6.48,25.98,5.2,20.71,0.07,77.24,34.17,2.71,0.33,63.0,17.0,16.0,0.19
13.251891,100,71.076092,0.34,1.0,13.25,0.1,90.0,9.67,26.89,7.36,19.44,0.09,46.06,21.93,2.72,0.21,41.0,13.0,36.0,0.21
29.514439,100,71.076092,0.57,19.0,29.51,0.05,95.0,7.6,23.87,6.29,17.52,0.06,84.06,35.07,2.11,0.29,56.0,25.0,14.0,0.21
33.08469,100,71.076092,0.03,15.0,33.08,0.02,98.0,7.14,29.09,6.28,22.73,0.08,60.56,29.44,14.03,0.24,14.0,35.0,49.0,0.21
9.336886,100,71.076092,0.07,17.0,9.34,0.18,82.0,7.54,24.87,6.55,18.22,0.09,53.61,20.08,2.71,0.16,35.0,15.0,32.0,0.21
28.935247,100,73.566802,0.13,1.0,28.94,0.02,98.0,8.04,24.64,6.81,17.78,0.05,48.71,23.7,2.89,0.34,48.0,50.0,0.0,0.21
33.97011,100,73.566802,0.07,5.0,33.97,0.01,99.0,7.56,27.97,6.79,21.11,0.06,67.61,35.14,4.72,0.18,43.0,39.0,17.0,0.21
32.375153,100,73.566802,0.52,7.0,32.38,0.04,96.0,7.21,20.48,6.59,13.83,0.06,92.4,30.34,2.74,0.35,50.0,46.0,0.0,0.21
20.58813,100,73.566802,0.42,17.0,20.59,0.08,92.0,7.91,30.99,6.82,24.09,0.08,37.41,21.98,0.95,0.15,23.0,25.0,44.0,0.21
34.867504,100,76.074955,0.5,5.0,34.87,0.07,93.0,3.53,23.81,3.95,19.76,0.1,34.03,15.78,3.76,0.24,20.0,20.0,53.0,0.23
34.682167,100,76.074955,0.47,7.0,34.68,0.05,95.0,4.65,22.36,4.82,17.47,0.07,41.72,15.24,1.15,0.22,44.0,38.0,13.0,0.23
39.32838,100,76.074955,0.33,15.0,39.33,0.03,97.0,4.33,30.72,4.61,26.02,0.08,46.54,21.64,2.59,0.18,20.0,31.0,46.0,0.23
44.97019,100,76.074955,0.47,23.0,44.97,0.04,96.0,3.46,25.06,3.91,21.08,0.07,93.08,38.44,2.2,0.18,48.0,26.0,22.0,0.23
18.917582,100,78.522485,-1.0,24.0,18.92,0.09,91.0,9.41,27.3,6.65,20.59,0.05,90.31,34.07,3.0,0.41,56.0,35.0,0.0,0.21
27.641174,100,78.522485,0.12,9.0,27.64,0.04,96.0,7.75,26.45,5.99,20.4,0.06,51.83,26.58,2.57,0.14,39.0,38.0,19.0,0.21
28.572506,100,78.522485,0.53,1.0,28.57,0.05,95.0,7.88,23.41,6.24,17.09,0.07,92.11,26.4,4.45,0.06,35.0,34.0,26.0,0.21
31.246601,100,78.522485,0.05,7.0,31.25,0.03,97.0,7.68,23.73,6.16,17.48,0.08,82.72,25.68,4.24,0.04,35.0,33.0,29.0,0.21
7.069072,100,80.982377,0.09,7.0,7.07,0.21,79.0,7.34,27.41,6.17,21.16,0.07,65.05,30.52,3.53,0.48,57.0,0.0,22.0,0.21
32.30207,100,80.982377,0.14,9.0,32.3,0.04,96.0,7.77,25.8,6.54,19.21,0.05,104.76,43.49,1.88,0.35,51.0,45.0,0.0,0.21
26.559237,100,80.982377,0.33,3.0,26.56,0.06,94.0,7.45,30.85,6.2,24.6,0.06,56.05,31.82,2.26,0.52,73.0,21.0,0.0,0.21
16.779428,100,80.982377,0.06,11.0,16.78,0.1,90.0,8.07,30.39,6.5,23.8,0.09,32.38,15.56,4.43,0.2,21.0,21.0,48.0,0.21
45.8101,100,83.481111,0.3,1.0,45.81,0.01,99.0,3.47,22.03,3.73,18.22,0.08,56.21,23.23,3.52,0.26,55.0,27.0,17.0,0.2
42.377956,100,83.481111,0.51,19.0,42.38,0.04,96.0,3.95,24.89,4.31,20.52,0.06,82.3,34.08,2.85,0.4,57.0,39.0,0.0,0.2
34.215675,100,83.481111,0.41,11.0,34.22,0.08,92.0,3.3,28.67,3.53,25.02,0.12,38.57,13.02,3.63,0.67,0.0,0.0,92.0,0.2
35.77899,100,83.481111,0.57,17.0,35.78,0.08,92.0,3.6,28.13,3.86,24.15,0.12,64.95,24.61,2.96,0.67,0.0,0.0,92.0,0.2
20.738123,100,86.280022,0.57,5.0,20.74,0.09,91.0,7.59,25.1,5.34,19.67,0.09,49.34,17.7,3.28,0.1,31.0,37.0,23.0,0.21
26.395168,100,86.280022,0.6,23.0,26.4,0.1,90.0,5.2,24.04,3.75,20.2,0.09,42.16,21.79,2.39,0.18,42.0,30.0,18.0,0.21
24.97039,100,86.280022,0.03,7.0,24.97,0.09,91.0,6.88,21.9,4.78,17.03,0.08,70.15,29.07,2.93,0.15,41.0,29.0,21.0,0.21
30.817583,100,86.280022,0.56,23.0,30.82,0.08,92.0,5.17,24.51,3.8,20.63,0.07,57.19,30.39,1.75,0.12,41.0,26.0,25.0,0.21
27.058302,100,89.170043,0.28,13.0,27.06,0.06,94.0,7.34,30.71,5.8,24.85,0.06,64.27,26.11,1.96,0.11,42.0,26.0,26.0,0.22
24.62504,100,89.170043,0.09,7.0,24.63,0.08,92.0,7.39,30.79,5.82,24.91,0.06,65.21,31.74,2.54,0.51,70.0,22.0,0.0,0.22
12.090094,100,89.170043,0.51,1.0,12.09,0.16,84.0,7.36,28.16,5.77,22.31,0.07,43.92,22.75,3.98,0.48,60.0,0.0,24.0,0.22
44.775116,100,89.170043,0.36,13.0,44.78,0.0,100.0,5.64,21.33,4.95,16.32,0.06,104.53,41.7,0.92,0.24,36.0,50.0,14.0,0.22
27.34641,100,91.785105,0.32,3.0,27.35,0.05,95.0,7.54,27.17,5.86,21.2,0.11,55.21,28.57,0.93,0.22,43.0,12.0,40.0,0.21
33.58182,100,91.785105,0.39,1.0,33.58,0.07,93.0,5.49,30.28,4.41,25.81,0.06,81.09,42.12,1.49,0.5,70.0,23.0,0.0,0.21
36.893803,100,91.785105,0.11,19.0,36.89,0.02,98.0,6.51,20.57,5.09,15.41,0.07,84.86,30.36,2.75,0.38,42.0,56.0,0.0,0.21
40.07868,100,91.785105,0.64,11.0,40.08,0.04,96.0,5.01,24.93,4.26,20.58,0.09,98.46,34.17,1.9,0.23,21.0,21.0,54.0,0.21
44.192398,100,94.326706,0.58,15.0,44.19,0.02,98.0,4.48,26.31,4.14,22.1,0.06,92.98,31.86,3.24,0.33,60.0,27.0,11.0,0.21
30.73827,100,94.326706,0.04,3.0,30.74,0.04,96.0,6.22,22.65,4.55,18.02,0.07,32.29,19.49,3.92,0.41,59.0,37.0,0.0,0.21
39.04355,100,94.326706,0.04,1.0,39.04,0.04,96.0,4.25,22.98,3.56,19.35,0.06,64.08,17.32,3.28,0.49,71.0,25.0,0.0,0.21
42.657345,100,94.326706,0.52,13.0,42.66,0.02,98.0,4.35,21.45,3.81,17.59,0.06,65.33,31.04,1.9,0.44,64.0,34.0,0.0,0.21
35.180523,100,96.69618,0.48,9.0,35.18,0.07,93.0,3.61,21.58,4.48,17.01,0.08,39.36,19.28,3.81,0.01,31.0,30.0,32.0,0.22
42.485905,100,96.69618,0.45,1.0,42.49,0.03,97.0,3.51,25.91,4.34,21.48,0.09,50.06,25.29,3.18,0.32,62.0,19.0,16.0,0.22
40.3083,100,96.69618,0.42,5.0,40.31,0.05,95.0,3.05,29.17,3.74,25.35,0.08,51.46,13.85,4.78,0.18,20.0,30.0,45.0,0.22
34.560375,100,96.69618,-1.0,24.0,34.56,0.1,90.0,3.57,25.16,4.42,20.67,0.07,86.99,28.4,1.7,0.16,44.0,24.0,22.0,0.22
39.82002,100,99.326629,0.52,15.0,39.82,0.07,93.0,1.76,27.62,2.06,25.46,0.09,29.97,12.0,4.41,0.39,0.0,39.0,54.0,0.21
45.453682,100,99.326629,0.52,9.0,45.45,0.04,96.0,1.83,22.79,2.14,20.58,0.07,46.02,15.84,4.07,0.41,37.0,59.0,0.0,0.21
50.672848,100,99.326629,0.47,1.0,50.67,0.03,97.0,1.92,23.68,2.25,21.36,0.07,81.2,38.79,2.05,0.3,59.0,23.0,15.0,0.21
46.375637,100,99.326629,0.57,11.0,46.38,0.04,96.0,2.06,24.9,2.44,22.35,0.1,57.8,28.51,1.53,0.12,39.0,22.0,35.0,0.21
41.820465,100,101.619114,0.55,19.0,41.82,0.05,95.0,3.06,28.74,3.17,25.52,0.06,55.32,33.05,3.02,0.45,64.0,31.0,0.0,0.21
45.565174,100,101.619114,0.3,3.0,45.57,0.02,98.0,3.02,23.98,3.21,20.69,0.08,54.37,21.36,2.62,0.14,20.0,37.0,41.0,0.21
37.17767,100,101.619114,0.29,1.0,37.18,0.06,94.0,3.9,21.06,3.99,17.0,0.07,60.77,19.85,3.17,0.26,31.0,50.0,13.0,0.21
43.569496,100,101.619114,0.51,21.0,43.57,0.03,97.0,3.72,21.36,3.72,17.57,0.07,70.08,31.34,3.05,0.34,49.0,48.0,0.0,0.21
7.8129573,100,103.998387,0.45,11.0,7.81,0.13,87.0,10.3,31.13,7.84,23.17,0.11,46.98,23.77,1.58,0.67,0.0,0.0,87.0,0.2
15.425286,100,103.999384,0.11,21.0,15.43,0.05,95.0,11.79,28.62,8.42,20.13,0.07,78.9,27.96,2.25,0.15,40.0,19.0,36.0,0.2
15.32091,100,103.999384,0.1,1.0,15.32,0.05,95.0,12.21,29.39,8.55,20.78,0.05,88.38,36.82,2.59,0.51,72.0,23.0,0.0,0.2
6.8429585,100,103.999384,0.07,1.0,6.84,0.1,90.0,12.53,28.7,8.72,19.91,0.06,80.65,21.87,4.22,0.33,45.0,45.0,0.0,0.2
26.336151,100,106.833512,0.6,1.0,26.34,0.11,89.0,6.04,29.2,4.71,24.4,0.09,91.36,33.96,0.68,0.37,39.0,0.0,50.0,0.21
16.65837,100,106.833512,0.32,9.0,16.66,0.12,88.0,7.38,24.74,5.9,18.75,0.09,34.62,20.49,1.89,0.15,36.0,36.0,16.0,0.21
22.485245,100,106.833512,0.06,15.0,22.49,0.14,86.0,5.71,23.24,4.43,18.74,0.07,82.26,33.92,3.14,0.19,39.0,33.0,14.0,0.21
20.769878,100,106.833512,-1.0,24.0,20.77,0.11,89.0,6.69,29.09,5.12,23.87,0.1,49.63,17.27,3.88,0.49,24.0,0.0,65.0,0.21
43.94826,100,109.399466,0.47,7.0,43.95,0.03,97.0,2.72,24.93,3.4,21.44,0.09,38.9,20.79,2.93,0.37,67.0,13.0,17.0,0.21
42.424694,100,109.399466,0.58,9.0,42.42,0.05,95.0,2.78,24.69,3.47,21.16,0.06,56.71,27.25,3.35,0.25,48.0,35.0,12.0,0.21
39.904106,100,109.399466,0.44,21.0,39.9,0.04,96.0,3.46,22.06,4.32,17.65,0.09,45.06,11.64,7.03,0.28,53.0,30.0,13.0,0.21
46.129524,100,109.399466,0.59,13.0,46.13,0.05,95.0,2.88,18.67,3.61,15.01,0.05,103.37,40.87,2.8,0.44,62.0,33.0,0.0,0.21
31.818842,100,111.681254,0.33,3.0,31.82,0.05,95.0,6.91,27.24,6.39,20.78,0.07,88.14,32.55,3.02,0.27,25.0,54.0,16.0,0.23
22.49475,100,111.681254,0.41,13.0,22.49,0.03,97.0,8.87,25.01,7.22,17.73,0.06,20.58,15.92,11.1,0.44,33.0,64.0,0.0,0.23
19.32073,100,111.681254,0.04,21.0,19.32,0.08,92.0,8.61,28.49,7.04,21.37,0.08,53.13,19.6,4.98,0.41,68.0,11.0,13.0,0.23
21.036945,100,111.681254,0.47,11.0,21.04,0.1,90.0,7.91,30.75,6.86,23.8,0.09,72.47,35.2,5.11,0.34,46.0,0.0,44.0,0.23
33.25248,100,122.363857,0.34,11.0,33.25,0.09,91.0,3.36,28.16,3.31,24.77,0.08,41.68,20.39,1.06,0.18,19.0,44.0,28.0,0.21
36.997227,100,122.363857,0.55,19.0,37.0,0.03,97.0,4.67,26.15,4.48,21.61,0.06,37.13,13.04,4.98,0.35,51.0,46.0,0.0,0.21
45.064472,100,122.363857,0.34,7.0,45.06,0.02,98.0,2.86,24.16,2.85,21.24,0.07,43.19,17.58,2.75,0.22,45.0,40.0,13.0,0.21
31.736965,100,122.363857,0.59,21.0,31.74,0.13,87.0,2.7,21.5,2.68,18.74,0.08,69.07,32.5,2.5,0.11,33.0,20.0,34.0,0.21
